,Census.Tract.GEOID,BUILDING.ID,BUILDING.ADDRESS,CARBON.DIOXIDE.EMISSIONS,COMPLIANCE.STATUS,X.DIFFERENCE.SOURCE.EUI,X.DIFFERENCE.SITE.EUI,ENERGY.STAR.SCORE,ENERGY.STAR.CERTIFICATION.ELIGIBILITY,ENERGY.STAR.CERTIFICATION.LAST.APPROVAL.DATE,ENERGY.STAR.CERTIFICATION.YEARS.CERTIFIED,ENTITY.RESPONSIBLE.FOR.BENCHMARK,GROSS.BUILDING.FLOOR.AREA,INDOOR.WATER.USE,INDOOR.WATER.USE.INTENSITY,NUMBER.OF.BUILDINGS,OCCUPANCY,OUTDOOR.WATER.USE,POSTAL.CODE,PROGRAM.YEAR,PROPERTY.TYPE,SITE.EUI,Source.EUI,TOTAL.WATER.USE,WEATHER.NORMALIZED.SITE.EUI,WEATHER.NORMALIZED.SOURCE.EUI,YEAR.BUILT,AIN,LADBS.Building.Category,CityOwned,Building.Wave,Longitude,Latitude,CES.Score,CES.Score.Percentile,Disadvantaged.Community,building.type,year.built..year.,floor_area,baseline.annual.site.energy.use.intensity..kWh.m2.,floor_area_2,predicted_cooling_capacity_tons
725,6037120104.0,425014904430,8445 TOBIAS AVE,,0,,,,,,,,,,,,,,91402,2020,,,,,,,,010,"20,000 to 49,999",0,1,-118.45165,34.223746999999996,42.167664261922205,79.02635893555299,1.0,Multi Family House,1950s,39642,42.7,1571488164,0.647939
645,6037119320.0,425015908711,9129 TOBIAS AVE,61.8,1,-31.9,-31.9,95.0,0.0,,Not Available,"636 NHP, LLC",26085.0,,,1.0,100.0,,91402,2018,Multifamily Housing,39.2,70.2,1939.7,40.0,71.1,1989.0,020,"20,000 to 49,999",0,1,-118.45165,34.23614,41.0494097383936,77.4877033673855,1.0,Multi Family House,1980s,26085,42.2,680427225,0.272401
719,6037120104.0,425075904846,8525 TOBIAS AVE,62.4,1,-89.6,-89.6,,0.0,,Not Available,Greystone Management Group INC,195032.0,,,1.0,95.0,,91402,2016,Multifamily Housing,4.2,13.2,12661.8,,,1985.0,051,"100,000+",0,4,-118.45165,34.225304,42.167664261922205,79.02635893555299,1.0,Multi Family House,1980s,195032,26.0,38037481024,0.6795180000000001
715,6037120103.0,425077906171,8749 TOBIAS AVE,51.3,1,-29.0,-29.0,92.0,0.0,,Not Available,"Seltzer-Doren Management Co., Inc.",20591.0,,,1.0,100.0,,91402,2018,Multifamily Housing,41.3,73.4,1294.1,42.9,75.1,1960.0,036,"20,000 to 49,999",0,1,-118.45166,34.22905,42.5756846346754,79.6191196872241,1.0,Multi Family House,1960s,20591,43.8,423989281,0.263896
1589,6037128303.0,425098890010,14623 SYLVAN ST,32.5,1,-76.6,-76.6,,0.0,,Not Available,Landmark,25600.0,,,1.0,95.0,,91411,2018,Multifamily Housing,23.4,27.6,1523.0,23.4,27.6,1978.0,024,"20,000 to 49,999",0,1,-118.451485,34.184658,57.944836736794,95.3083617101778,1.0,Multi Family House,1970s,25600,37.6,655360000,0.264816
6246,6037265304.0,425207847897,535 GAYLEY AVE,64.6,1,-62.3,-62.3,100.0,0.0,,Not Available,Decron Properties,40000.0,,,1.0,95.0,,90024,2018,Multifamily Housing,27.2,45.7,1788.6,,,1970.0,041,"20,000 to 49,999",0,4,-118.4505,34.06941,23.311763760152,45.882204565519,0.0,Multi Family House,1970s,40000,27.2,1600000000,0.263248
660,6037119340.0,425243907130,14625 RAYEN ST,,0,,,,,,,,,,,,,,91402,2020,,,,,,,,023,"50,000 to 99,999",0,1,-118.4513,34.231796,44.933450182261,82.7468785471056,1.0,Multi Family House,1960s,42876,27.1,1838351376,0.259407
162,6037109601.0,425258914039,9933 WOODMAN AVE,,0,,,,,,,,,,,,,,91345,2020,,,,,,,,009,"50,000 to 99,999",0,5,-118.45098,34.25104,30.7929752507202,60.953461975028404,0.0,Multi Family House,1980s,71711,39.8,5142467521,0.408125
6239,6037265304.0,425291846894,10965 W STRATHMORE DR,209.5,1,2.4,2.4,45.0,0.0,,Not Available,AUM,67564.0,,,1.0,95.0,,90024,2016,Multifamily Housing,46.8,105.7,4002.8,46.8,105.7,1989.0,BRK,"100,000+",0,3,-118.44993999999998,34.06653,23.311763760152,45.882204565519,0.0,Multi Family House,1980s,67564,46.8,4564894096,0.437061
672,6037119340.0,425305907420,8938 TOBIAS AVE,,0,,,,,,,,,,,,,,91402,2020,,,,,,,,063,"20,000 to 49,999",0,1,-118.45164,34.23234,44.933450182261,82.7468785471056,1.0,Multi Family House,1980s,39710,4.9,1576884100,0.1797
1714,6037128910.0,425309882602,14556 MAGNOLIA BLVD,85.8,1,-24.5,-24.5,88.0,0.0,,Not Available,14556 Magnolia Blvd. LLC,39000.0,,,1.0,100.0,,91403,2018,Multifamily Housing,34.6,72.9,1689.1,35.2,73.5,1960.0,023,"20,000 to 49,999",0,2,-118.45053,34.164852,36.006399512010105,70.0214402825073,0.0,Multi Family House,1960s,39000,34.6,1521000000,0.27912800000000004
6397,6037267300.0,425315838085,1728 COLBY AVE,,0,,,,,,,,,,,,,,90025,2019,,,,,,,,065,"20,000 to 49,999",0,3,-118.45075,34.04266,37.0576717011107,71.8123344684071,0.0,Multi Family House,1990s,30289,4.1,917423521,0.108481
650,6037119320.0,425320910418,14610 GLEDHILL ST,,0,,,,,,,,,,,,,,91402,2020,,,,,,,,021,"20,000 to 49,999",0,5,-118.45078999999998,34.241375,41.0494097383936,77.4877033673855,1.0,Multi Family House,1990s,28278,37.2,799645284,0.17415799999999998
6243,6037265304.0,425321847033,10941 STRATHMORE DR,60.3,0,-32.5,-32.5,92.0,0.0,,Not Available,"Vert Energy Group, Inc.",41236.0,,,1.0,100.0,,90024,2019,Multifamily Housing,23.2,47.5,1881.4,23.2,47.5,1957.0,011,"20,000 to 49,999",0,2,-118.449776,34.067146,23.311763760152,45.882204565519,0.0,Multi Family House,1950s,41236,23.2,1700407696,0.49196899999999993
6251,6037265305.0,425324846552,700 LEVERING AVE,,0,,,,,,,,,,,,,,90024,2019,,,,,,,,009,"20,000 to 49,999",0,2,-118.45046,34.06558,20.2293864048944,38.907806785218796,0.0,Multi Family House,1950s,20748,31.7,430479504,0.45083199999999995
638,6037119320.0,425341909908,14602 VINCENNES ST,220.8,1,-42.4,-42.4,100.0,0.0,,Not Available,Anza Management Corporation,138584.0,,,1.0,95.0,,91402,2016,Multifamily Housing,21.0,66.0,9423.2,21.0,66.0,1988.0,027,"100,000+",0,5,-118.45056000000001,34.240227000000004,41.0494097383936,77.4877033673855,1.0,Multi Family House,1980s,138584,21.0,19205525056,0.495096
1593,6037128303.0,425370889227,14553 DELANO ST,,0,,,,,,,,,,,,,,91411,2020,,,,,,,,038,"20,000 to 49,999",0,4,-118.44986000000002,34.18265,57.944836736794,95.3083617101778,1.0,Office,1980s,21280,22.4,452838400,9.29275
667,6037119340.0,425379907695,9010 TOBIAS AVE,,0,,,,,,,,,,,,,,91402,2019,,,,,,,,026,"100,000+",0,3,-118.45164,34.23352,44.933450182261,82.7468785471056,1.0,Multi Family House,1970s,160858,47.5,25875296164,0.861922
6252,6037265305.0,425408846651,10984 STRATHMORE DR,7.1,1,-89.9,-89.9,,0.0,,Not Available,638 Landfair LLC,23476.0,,,1.0,100.0,,90024,2018,Multifamily Housing,4.3,12.0,1007.9,4.3,12.0,2011.0,007,"20,000 to 49,999",0,1,-118.450134,34.066067,20.2293864048944,38.907806785218796,0.0,Multi Family House,1990s,23476,4.3,551122576,0.10119199999999999
1491,6037127803.0,425409893657,14548 HARTLAND ST,,0,,,,,,,,,,,,,,91405,2019,,,,,,,,029,"20,000 to 49,999",0,4,-118.44979,34.19515,48.875884561373205,87.7664270399798,1.0,Multi Family House,1990s,34000,4.7,1156000000,0.11376800000000001
1594,6037128400.0,425410885410,14543 BURBANK BLVD,9.3,1,-87.0,-87.0,100.0,0.0,,Not Available,"Calabasas Village, LLC",28000.0,,,1.0,100.0,,91411,2018,Multifamily Housing,4.7,13.3,1489.5,4.6,12.8,1985.0,024,"20,000 to 49,999",0,1,-118.44967,34.172123,50.8700286108134,89.69605246563249,1.0,Multi Family House,1980s,28000,4.7,784000000,0.158749
646,6037119320.0,425419910693,9429 VAN NUYS BLVD,8.8,1,-90.2,-90.2,100.0,0.0,,Not Available,LBPM,37004.0,,,1.0,100.0,,91402,2018,Multifamily Housing,3.4,9.4,,,,1990.0,027,"20,000 to 49,999",0,2,-118.45025,34.24154,41.0494097383936,77.4877033673855,1.0,Multi Family House,1990s,37004,3.4,1369296016,0.115071
655,6037119320.0,425455909103,9213 VAN NUYS BLVD,,0,,,,,,,,,,,,,,91402,2020,,,,,,,,025,"50,000 to 99,999",0,2,-118.45026000000001,34.237423,41.0494097383936,77.4877033673855,1.0,Multi Family House,1980s,54072,80.8,2923781184,0.6424300000000001
1379,6037127210.0,425456898677,14547 SATICOY ST,52.0,1,-22.0,-22.0,82.0,1.0,,Not Available,Unknown,21518.0,,,1.0,100.0,,91405,2019,Multifamily Housing,38.7,77.0,1879.1,39.0,77.3,1964.0,031,"20,000 to 49,999",0,4,-118.450005,34.208459999999995,54.33918793397861,92.6472442931013,1.0,Multi Family House,1960s,21518,38.7,463024324,0.24701900000000002
1684,6037128802.0,425480884585,5450 VESPER AVE,926.6,1,36.8,36.8,10.0,0.0,,Not Available,"Welltower, Inc",209559.0,11840.5,56.5,1.0,95.0,,91411,2017,Multifamily Housing,66.3,152.5,11840.5,66.9,151.0,2001.0,022,"100,000+",0,3,-118.45088,34.169407,27.0678808588002,54.02951191827471,0.0,Multi Family House,1990s,209559,65.2,43914974481,0.854067
631,6037119320.0,425480909381,9237 VAN NUYS BLVD,72.4,1,-63.0,-63.0,100.0,1.0,,Not Available,Progressive Apartment Management LLC,30380.0,,,1.0,100.0,,91402,2019,Multifamily Housing,43.1,54.5,3698.6,43.4,54.8,1986.0,026,"20,000 to 49,999",0,1,-118.45026000000001,34.237792999999996,41.0494097383936,77.4877033673855,1.0,Multi Family House,1980s,30380,43.1,922944400,0.288933
712,6037120030.0,425481900775,14540 BLYTHE ST,336.6,1,149.6,149.6,1.0,0.0,,Not Available,"Vert Energy Group, Inc.",57057.0,,,1.0,100.0,,91402,2019,Multifamily Housing,89.3,210.5,9331.9,89.5,210.7,1994.0,055,"50,000 to 99,999",0,3,-118.44991,34.215218,51.3461075554974,90.21314163198392,1.0,Multi Family House,1990s,57057,87.9,3255501249,0.494385
1709,6037128802.0,425502883927,14534 CLARK ST,,0,,,,,,,,,,,,,,91411,2020,,,,,,,,024,"20,000 to 49,999",0,4,-118.44951999999999,34.168479999999995,27.0678808588002,54.02951191827471,0.0,Multi Family House,1960s,24568,50.4,603586624,0.304082
6382,6037267300.0,425548839070,1645 S CORINTH AVE,126.8,0,-46.7,-46.7,87.0,0.0,,Not Available,ece_cola_gsd,53760.0,1756.7,32.68,1.0,100.0,,90025,2019,Office,36.6,80.2,3645.7,,,1990.0,908,"7,500 to 14,999",1,1,-118.44868999999998,34.045124,37.0576717011107,71.8123344684071,0.0,Office,1990s,53760,26.8,2890137600,9.292388
1392,6037127210.0,425573898656,14535 SATICOY ST,,0,,,,,,,,,,,,,,91405,2020,,,,,,,,032,"20,000 to 49,999",0,4,-118.449745,34.208459999999995,54.33918793397861,92.6472442931013,1.0,Multi Family House,1960s,36027,37.1,1297944729,0.28112600000000004
1723,6037128910.0,425643882570,14522 MAGNOLIA BLVD,36.4,1,-44.8,-44.8,99.0,0.0,,Not Available,BERGLAS & GARFIELD,21230.0,,,1.0,95.0,,91403,2019,Multifamily Housing,28.3,51.3,1003.9,28.4,51.4,1990.0,018,"20,000 to 49,999",0,1,-118.449554,34.164852,36.006399512010105,70.0214402825073,0.0,Multi Family House,1990s,21230,30.2,450712900,0.145422
2462,6037141304.0,425726877337,14515 DICKENS ST,,0,,,,,,,,,,,,,,91403,2020,,,,,,,,035,"20,000 to 49,999",0,4,-118.44948000000001,34.150074,27.443237667187,54.710556186152104,0.0,Multi Family House,1990s,27328,6.3,746819584,0.108655
743,6037120105.0,425750907714,14555 OSBORNE ST,,0,,,,,,,,,,,,,,91402,2020,,,,,,,,021,"100,000+",0,3,-118.44926000000001,34.233146999999995,41.3546333748664,77.89128515575729,1.0,Multi Family House,1970s,132340,42.5,17513875600,0.689542
108,6037106010.0,425759940527,14500 OLIVE VIEW DR,272.8,1,-38.7,-38.7,98.0,1.0,,Not Available,BERGLAS & GARFIELD,148403.0,,,11.0,95.0,,91342,2017,Multifamily Housing,30.3,52.8,7149.1,32.4,55.0,1971.0,024,"50,000 to 99,999",0,4,-118.448654,34.324146,30.8561265177543,61.0669693530079,0.0,Multi Family House,1970s,148403,53.0,22023450409,0.8810120000000001
6261,6037265305.0,425771846082,747 GAYLEY AVE,,0,,,,,,,,,,,,,,90024,2020,,,,,,,,030,"20,000 to 49,999",0,2,-118.44808,34.064606,20.2293864048944,38.907806785218796,0.0,Multi Family House,1980s,34613,58.7,1198059769,0.381185
6487,6037267700.0,425847837619,1845 BUTLER AVE,70.4,1,-33.4,-33.4,96.0,1.0,,Not Available,equity residential,38637.0,,,1.0,95.0,,90025,2019,Multifamily Housing,31.2,54.7,1081.7,31.2,54.8,1999.0,095,"20,000 to 49,999",0,5,-118.448494,34.04155,31.4968747609683,62.2146550636903,0.0,Multi Family House,1990s,38637,26.9,1492817769,0.166212
6258,6037265305.0,425867846919,638 S LANDFAIR AVE,25.2,1,-75.8,-75.8,,0.0,,Not Available,638 Landfair LLC,33658.0,,,1.0,100.0,,90024,2017,Multifamily Housing,9.9,31.0,5.2,9.8,30.8,2014.0,025,"50,000 to 99,999",0,5,-118.44871499999999,34.06644,20.2293864048944,38.907806785218796,0.0,Multi Family House,1990s,33658,8.3,1132860964,0.11963199999999999
6399,6037267300.0,425891838765,1711 CORINTH AVE,,0,,,,,,,,,,,,,,90025,2020,,,,,,,,024,"20,000 to 49,999",0,3,-118.44818000000001,34.044533,37.0576717011107,71.8123344684071,0.0,Multi Family House,1960s,22614,22.9,511392996,0.197411
625,6037119310.0,425891911907,9618 N VAN NUYS BLVD,,0,,,,,,,,,,,,,,91402,2020,,,,,,,,006,"50,000 to 99,999",0,4,-118.45022,34.245067999999996,24.7187015979214,49.350485559339106,0.0,Multi Family House,1990s,70245,38.8,4934360025,0.26721
2368,6037141202.0,425953877116,4320 VAN NUYS BLVD,,0,,,,,,,,,,,,,,91403,2020,,,,,,,,051,"20,000 to 49,999",0,4,-118.449,34.14962,24.465509147816,48.8712321856476,0.0,Multi Family House,1980s,33150,14.3,1098922500,0.193396
6393,6037267300.0,425991838371,11347 NEBRASKA AVE,,0,,,,,,,,,,,,,,90025,2019,,,,,,,,048,"20,000 to 49,999",0,1,-118.4476,34.043079999999996,37.0576717011107,71.8123344684071,0.0,Multi Family House,1990s,37554,8.1,1410302916,0.124136
674,6037119341.0,426077909154,9215 WAKEFIELD AVE,52.4,1,-26.7,-26.7,88.0,0.0,,Not Available,Statewide Management,30632.0,,,1.0,95.0,,91402,2019,Multifamily Housing,25.4,63.3,2561.3,25.4,63.3,1985.0,133,"20,000 to 49,999",0,3,-118.44807,34.237827,27.741490793392895,55.3789885231429,0.0,Multi Family House,1980s,30632,25.4,938319424,0.222374
6833,6037273700.0,426196821761,1621 VENICE BLVD,63.1,1,-18.3,-18.3,80.0,0.0,,Not Available,PORTOBELLO MANAGEMENT LLC,29952.0,,,1.0,95.0,,90291,2018,Multifamily Housing,35.3,60.4,1043.5,37.1,62.3,1990.0,032,"20,000 to 49,999",0,1,-118.44731000000002,33.996925,18.766647675652898,35.1242275192332,0.0,Multi Family House,1990s,29952,30.6,897122304,0.160613
1632,6037128702.0,426288881190,14426 ADDISON ST,62.2,1,-17.2,-17.2,78.0,0.0,,Not Available,Landmark,23369.0,,,1.0,95.0,,91423,2019,Multifamily Housing,45.5,72.3,704.7,45.8,72.7,1962.0,036,"20,000 to 49,999",0,1,-118.44628,34.161224,24.916644752912603,49.741455416824294,0.0,Multi Family House,1960s,23369,45.5,546110161,0.278984
2362,6037141201.0,426349879207,4620 TILDEN AVE,,0,,,,,,,,,,,,,,91403,2020,,,,,,,,023,"20,000 to 49,999",0,4,-118.4476,34.155359999999995,24.6235049627182,49.2622020431328,0.0,Multi Family House,1980s,29632,45.9,878055424,0.298919
1654,6037128702.0,426394882541,14424 MAGNOLIA BLVD,87.7,0,-1.9,-1.9,52.0,0.0,,Not Available,"Vert Energy Group, Inc.",31482.0,,,1.0,100.0,,91423,2019,Multifamily Housing,46.8,79.5,1255.2,47.1,79.9,1979.0,049,"20,000 to 49,999",0,1,-118.44726999999999,34.164852,24.916644752912603,49.741455416824294,0.0,Multi Family House,1970s,31482,46.8,991116324,0.323336
1555,6037127910.0,426422895136,14415 VOSE ST,79.4,0,0.5,0.5,49.0,0.0,,Not Available,Unknown,24564.0,,,1.0,100.0,,91405,2019,Multifamily Housing,53.7,94.7,1605.3,53.9,94.9,1987.0,038,"20,000 to 49,999",0,4,-118.44738999999998,34.19847,47.425827678724296,86.0259805776264,1.0,Multi Family House,1980s,24564,61.3,603390096,0.356512
6268,6037265510.0,426449843312,1260 VETERAN AVE,87.9,0,0.0,0.0,49.0,0.0,,Not Available,"Vert Energy Group, Inc.",38378.0,,,1.0,100.0,,90024,2019,Multifamily Housing,44.5,70.4,3720.1,44.7,70.6,1974.0,020,"20,000 to 49,999",0,2,-118.44677,34.056637,29.846859312968103,59.0995081346954,0.0,Multi Family House,1970s,38378,41.4,1472870884,0.320189
1567,6037128102.0,426477892004,14420 KITTRIDGE ST,276.4,1,17.8,17.8,25.0,0.0,,Not Available,LBPM,89436.0,,,1.0,100.0,,91405,2017,Multifamily Housing,48.8,97.1,6511.0,49.8,98.1,1987.0,016,"50,000 to 99,999",0,3,-118.44708,34.190670000000004,43.3149617642058,80.53979064194729,1.0,Multi Family House,1980s,89436,43.6,7998798096,0.499605
6386,6037267300.0,426493839104,1759 BELOIT AVE,133.6,1,-15.2,-15.2,73.0,0.0,,Not Available,NMS Properties,46450.0,,,1.0,95.0,,90025,2018,Multifamily Housing,46.8,88.7,2034.7,47.9,89.8,2009.0,004,"20,000 to 49,999",0,3,-118.44598400000001,34.04533,37.0576717011107,71.8123344684071,0.0,Multi Family House,1990s,46450,46.8,2157602500,0.24183200000000002
1639,6037128702.0,426494881594,14403 ADDISON ST,65.6,0,-21.4,-21.4,81.0,1.0,,Not Available,"Vert Energy Group, Inc.",25597.0,,,1.0,100.0,,91423,2019,Multifamily Housing,44.5,66.7,2166.4,44.9,67.2,1961.0,019,"20,000 to 49,999",0,3,-118.44596999999999,34.161235999999995,24.916644752912603,49.741455416824294,0.0,Multi Family House,1960s,25597,43.5,655206409,0.27733800000000003
2357,6037141201.0,426500879250,4625 SYLMAR AVE,30.7,1,-68.1,-68.1,100.0,0.0,,Not Available,Landmark,27530.0,,,1.0,95.0,,91423,2018,Multifamily Housing,20.0,26.2,1343.3,20.0,26.2,1972.0,016,"20,000 to 49,999",0,1,-118.44651999999999,34.15501,24.6235049627182,49.2622020431328,0.0,Multi Family House,1970s,27530,39.0,757900900,0.276037
1630,6037128702.0,426546882417,14401 HARTSOOK ST,,0,,,,,,,,,,,,,,91423,2020,,,,,,,,028,"20,000 to 49,999",0,4,-118.44655,34.163956,24.916644752912603,49.741455416824294,0.0,Multi Family House,1970s,36675,30.0,1345055625,0.265406
678,6037119342.0,426572910020,9339 SYLMAR AVE,340.5,1,147.0,147.0,1.0,0.0,,Not Available,Statewide Management,36188.0,,,1.0,95.0,,91402,2019,Multifamily Housing,171.3,211.3,3883.1,172.4,212.3,1986.0,104,"20,000 to 49,999",0,1,-118.44661,34.239864000000004,38.584727415759296,73.90591499558579,0.0,Multi Family House,1980s,36188,153.9,1309571344,1.606698
6281,6037265510.0,426607843742,10960 WILSHIRE BLVD,,0,,,,,,,,,,,,,,90024,2020,,,,,,,,028,"100,000+",0,2,-118.44606,34.058186,29.846859312968103,59.0995081346954,0.0,Office,1970s,636803,60.9,405518060809,2.579639
1650,6037128702.0,426717881523,14343 ADDISON ST,111.1,0,-33.1,-33.1,93.0,0.0,,Not Available,"Vert Energy Group, Inc.",78289.0,,,1.0,100.0,,91423,2019,Multifamily Housing,20.1,56.4,2850.1,20.1,56.4,1963.0,034,"50,000 to 99,999",0,2,-118.44516999999999,34.161235999999995,24.916644752912603,49.741455416824294,0.0,Multi Family House,1960s,78289,20.1,6129167521,0.322667
1657,6037128702.0,426734880850,14355 HUSTON ST,128.0,1,-37.9,-37.9,96.0,0.0,,Not Available,"Vert Energy Group, Inc.",71634.0,,,1.0,100.0,,91423,2018,Multifamily Housing,29.6,52.9,1676.4,30.5,53.9,1969.0,075,"20,000 to 49,999",0,1,-118.44601399999999,34.159424,24.916644752912603,49.741455416824294,0.0,Multi Family House,1960s,71634,29.6,5131429956,0.351516
6488,6037267700.0,426738838446,1828 SAWTELLE BLVD,109.3,1,-28.3,-28.3,77.0,0.0,,Not Available,ece_cola_gsd,36162.0,,,1.0,80.0,,90025,2017,Office,39.9,125.2,102.3,38.9,122.0,2000.0,900,"50,000 to 99,999",1,4,-118.4458,34.043459999999996,31.4968747609683,62.2146550636903,0.0,Office,1990s,36162,39.9,1307690244,9.506903999999999
6302,6037265510.0,426789842900,10989 ROCHESTER AVE,99.8,1,-27.7,-27.7,91.0,0.0,,Not Available,Yardi Energy,42672.0,,,1.0,95.0,,90024,2018,Multifamily Housing,39.3,66.6,1925.3,41.1,68.4,1972.0,020,"20,000 to 49,999",0,1,-118.44528000000001,34.055393,29.846859312968103,59.0995081346954,0.0,Multi Family House,1970s,42672,34.7,1820899584,0.30243200000000003
1642,6037128702.0,426801881093,14340 ADDISON ST,,0,,,,,,,,,,,,,,91423,2020,,,,,,,,142,"20,000 to 49,999",0,2,-118.445145,34.161224,24.916644752912603,49.741455416824294,0.0,Multi Family House,1960s,41500,29.8,1722250000,0.266413
1543,6037127910.0,426844894709,7011 LENNOX AVE,,0,,,,,,,,,,,,,,91405,2020,,,,,,,,044,"20,000 to 49,999",0,5,-118.44546000000001,34.19786,47.425827678724296,86.0259805776264,1.0,Multi Family House,1960s,33352,50.5,1112355904,0.33411799999999997
1368,6037127102.0,426867895980,14335 SHERMAN WAY,202.9,1,-18.2,-18.2,77.0,0.0,,Not Available,Pacific West Management,83582.0,5834.8,69.81,1.0,100.0,,91405,2018,Multifamily Housing,40.3,71.2,5834.8,41.5,72.3,1974.0,051,"50,000 to 99,999",0,1,-118.44551000000001,34.2012,55.088724688301106,93.3535124227519,1.0,Multi Family House,1970s,83582,40.3,6985950724,0.475196
6841,6037274100.0,426908817542,13603 MARINA POINTE DR,1219.5,1,-16.2,-16.2,78.0,0.0,,Not Available,"UDR, Inc",556336.0,,,4.0,95.0,,90292,2018,Multifamily Housing,35.6,67.8,19162.8,36.6,68.8,1993.0,066,"100,000+",0,2,-118.44371000000001,33.98552,20.6569494836479,40.0050447723547,0.0,Multi Family House,1990s,497900,34.7,247904410000,0.16067
1621,6037128702.0,426919881420,14333 ADDISON ST,0.8,1,-99.2,-99.2,100.0,1.0,,Not Available,Regency Apts,39140.0,,,1.0,100.0,,91423,2019,Multifamily Housing,0.3,0.8,2.7,0.3,0.8,1963.0,039,"20,000 to 49,999",0,1,-118.44503999999999,34.161235999999995,24.916644752912603,49.741455416824294,0.0,Multi Family House,1960s,39140,0.3,1531939600,0.16743
6666,6037271200.0,426934833901,2440 S BARRINGTON AVE,71.7,1,-7.9,-7.9,62.0,0.0,,Not Available,"Vert Energy Group, Inc.",32142.0,,,1.0,100.0,,90064,2018,Multifamily Housing,36.8,67.6,1708.6,38.0,68.9,1973.0,058,"20,000 to 49,999",0,1,-118.44491000000001,34.030617,33.4725339005967,65.8342792281498,0.0,Multi Family House,1970s,32142,36.8,1033108164,0.280381
1603,6037128500.0,427023885231,14314 BURBANK BLVD,,0,,,,,,,,,,,,,,91401,2020,,,,,,,,033,"50,000 to 99,999",0,1,-118.44475,34.172115000000005,26.0251375187,51.9107075293227,0.0,Multi Family House,1970s,25000,272.8,625000000,8.839568
6309,6037265520.0,427030841893,1414 GREENFIELD AVE,79.8,1,-30.3,-30.3,95.0,1.0,,Not Available,Scenic West Property Management,40000.0,,,1.0,100.0,,90025,2019,Multifamily Housing,34.6,57.1,1872.4,34.8,57.4,1973.0,031,"20,000 to 49,999",0,2,-118.44474,34.052696000000005,19.4620090513475,36.9151217051331,0.0,Multi Family House,1970s,40000,35.2,1600000000,0.296674
1635,6037128702.0,427042881178,14320 ADDISON ST,149.2,1,2.1,2.1,46.0,0.0,,Not Available,"Conservice, LLC",62328.0,,,1.0,90.0,,91423,2018,Multifamily Housing,37.1,81.6,1.6,37.1,81.6,1969.0,076,"50,000 to 99,999",0,5,-118.44488,34.161224,24.916644752912603,49.741455416824294,0.0,Multi Family House,1960s,62328,37.1,3884779584,0.3622
6285,6037265510.0,427049843014,10957 ROCHESTER AVE,173.3,1,23.3,23.3,15.0,0.0,,Not Available,"RealPage Utility Management, Inc.",51488.0,,,1.0,95.0,,90024,2017,Multifamily Housing,50.0,117.8,2628.0,50.0,117.8,1987.0,044,"50,000 to 99,999",0,3,-118.44452,34.055595000000004,29.846859312968103,59.0995081346954,0.0,Multi Family House,1980s,51488,24.1,2651014144,0.26869299999999996
6471,6037267700.0,427062838050,1920 SAWTELLE BLVD,,0,,,,,,,,,,,,,,90025,2020,,,,,,,,035,"20,000 to 49,999",0,1,-118.44463,34.04211,31.4968747609683,62.2146550636903,0.0,Multi Family House,1980s,37629,33.0,1415941641,0.267768
1551,6037127910.0,427079894278,6930 LENNOX AVE,4.6,1,-93.5,-93.5,100.0,0.0,,Not Available,LA Apartments,32997.0,,,1.0,100.0,,91405,2018,Multifamily Housing,2.0,5.5,1928.0,1.9,5.4,1976.0,036,"20,000 to 49,999",0,5,-118.44543999999999,34.196514,47.425827678724296,86.0259805776264,1.0,Multi Family House,1970s,32997,2.0,1088802009,0.168182
1367,6037127102.0,427091897096,14322 W VALERIO ST,112.9,1,-30.9,-30.9,95.0,0.0,,Not Available,Ramin Shirazi,43577.0,,,1.0,100.0,,91405,2018,Multifamily Housing,42.8,77.1,3206.2,43.7,78.2,1987.0,163,"20,000 to 49,999",0,4,-118.445206,34.20482,55.088724688301106,93.3535124227519,1.0,Multi Family House,1980s,43577,41.1,1898954929,0.320786
6484,6037267700.0,427094835618,11500 W OLYMPIC BLVD,793.2,1,-69.3,-69.3,99.0,0.0,,Not Available,Ramcal Management,627899.0,,,1.0,95.0,,90064,2018,Office,18.0,50.0,3657.2,17.4,48.5,1984.0,007,"100,000+",0,5,-118.44414499999999,34.036457,31.4968747609683,62.2146550636903,0.0,Office,1980s,627899,16.6,394257154201,1.477501
6885,6037275400.0,427180819079,4073 GLENCOE AVE,271.9,1,-15.3,-15.3,79.0,0.0,,Not Available,equity residential,102932.0,,,2.0,95.0,,90292,2018,Multifamily Housing,44.1,76.5,4057.4,45.5,78.1,2003.0,038,"100,000+",0,5,-118.44324499999999,33.990376,22.207233497451302,43.4228780426283,0.0,Multi Family House,1990s,102932,44.6,10594996624,0.377668
6474,6037267700.0,427187838123,1929 S BELOIT AVE,154.5,1,-25.3,-25.3,91.0,0.0,,Not Available,AUM,74029.0,,,1.0,95.0,,90025,2017,Multifamily Housing,31.0,72.9,1746.0,31.7,73.6,2011.0,036,"100,000+",0,2,-118.4436,34.042572,31.4968747609683,62.2146550636903,0.0,Multi Family House,1990s,74029,32.5,5480292841,0.251239
6315,6037265520.0,427189841986,1441 VETERAN AVE,,0,,,,,,,,,,,,,,90024,2020,,,,,,,,032,"50,000 to 99,999",0,4,-118.44373,34.053093,19.4620090513475,36.9151217051331,0.0,Multi Family House,1980s,140756,29.7,19812251536,0.570628
